ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
four,four,1500,FOUR,quatro
people,people,789,PEOPLE,gente
here,here,136,HERE,aqui
know,know,1410,KNOW (SOMETHING),saber
tapuru,tapuru,2640,LARVA,tapuru
hammock,hammock,2019,HAMMOCK,rede
other,other,197,OTHER,outro
snake,snake,730,SNAKE,cobra
think,think,2271,THINK,pensar
fly,fly,1441,FLY (MOVE THROUGH AIR),voar
there,there,1937,THERE,ali
man,man,1554,MAN,homem
vine,vine,343,VINE,cipo
he,he,,,ele
swim,swim,1439,SWIM,nadar
they,they,817,THEY,eles
fish,fish,227,FISH,peixe
few,few,1242,FEW,poucos
give,give,1447,GIVE,dar
afraid,afraid,1419,FEAR (BE AFRAID),ter medo
year,year,1226,YEAR,ano
bird,bird,937,BIRD,pássaro
dirty,dirty,1230,DIRTY,sujo
right,right,1019,RIGHT,direito
straight,straight,1404,STRAIGHT,reto
father,father,1217,FATHER,pai
one,one,1493,ONE,um
smooth,smooth,1234,SMOOTH,liso
short,short,1645,SHORT,curto
narrow,narrow,1267,NARROW,estreito
herbgrass,"herb, grass",606,GRASS,"erva, capim"
white,white,1335,WHITE,branco
grease,grease,323,FAT (ORGANIC SUBSTANCE),gordura
moon,moon,1313,MOON,lua
fire,fire,221,FIRE,fogo
many,many,1198,MANY,muitos
hot,hot,2272,HOT OR WARM,quente
name,name,1405,NAME,nome
hear,hear,1408,HEAR,ouvir
jungle,jungle,420,FOREST,selva
mountain,mountain,639,MOUNTAIN,serra
cold,cold,1287,COLD,frio
sun,sun,1343,SUN,sol
day,day,1260,DAY (24 HOURS),dia
sky,sky,1732,SKY,céu
long,long,1203,LONG,comprido
dust,dust,2,DUST,poeira
full,full,1429,FULL,cheio
near,near,1942,NEAR,perto
where,where,1237,WHERE,onde
round,round,1395,ROUND,redondo
behind,behind,1686,BEHIND,atrás
afternoon,afternoon,1807,AFTERNOON,tarde
grate,grate,,,raspar
dark,dark,706,DARK,escuro
night,night,1233,NIGHT,noite
morning,morning,1339,MORNING,manhã
swellup,swell up,1573,SWELL,inchar
leaf,leaf,628,LEAF,folha
husband,husband,1200,HUSBAND,marido
die,die,1494,DIE,morrer
jaguar,jaguar,1250,JAGUAR,onça
cloud,cloud,1489,CLOUD,nuvem
two,two,1498,TWO,dois
correct,correct,1725,CORRECT (RIGHT),correto
above,above,1741,ABOVE,encima
standing,standing,1442,STAND,de pé
green,green,1425,GREEN,verde
yellow,yellow,1424,YELLOW,amarelo
yes,yes,1268,YES,sim
smell,smell,1586,SMELL (PERCEIVE),cheirar
path,path,2252,PATH,caminho
who,who,1235,WHO,quem
that,that,78,THAT,aquele
old,old,1229,OLD,velho
we,we,1212,WE,nós
flower,flower,239,FLOWER,flor
boychild,"boy, child",2391,BOY OR SON,menino
girl,girl,1646,GIRL,Menina
knee,knee,1371,KNEE,joelho
mother,mother,1216,MOTHER,mãe
ear,ear,1247,EAR,orelha
tree,tree,906,TREE,árvore
foot,foot,1301,FOOT,pé
goodmorning,good morning,,,bom dia
thin,thin,2308,THIN,fino
heavy,heavy,1210,HEAVY,pesado
what,what,1236,WHAT,que cousa
