ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Tariana-Chacon-2019-220-85_four-1,,Tariana,Chacon-2019-220-85_four,~kehkunĩpɛ,kehkunĩpɛ,k e h k u n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Moliwene-Chacon-2019-220-85_four-1,,Moliwene,Chacon-2019-220-85_four,koadaka,koadaka,k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Mauliene-Chacon-2019-220-85_four-1,,Mauliene,Chacon-2019-220-85_four,koadáka,koadáka,k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Kumadene1-Chacon-2019-220-85_four-1,,Kumadene1,Chacon-2019-220-85_four,koehponĩpɛ,koehponĩpɛ,k o e h p o n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Name-Chacon-2019-220-85_four-1,,Name,Chacon-2019-220-85_four,kuatroda,kuatroda,k u a t ɾ o d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Oho-Chacon-2019-220-85_four-1,,Oho,Chacon-2019-220-85_four,kuatroda,kuatroda,k u a t ɾ o d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Kumadene2-Chacon-2019-220-85_four-1,,Kumadene2,Chacon-2019-220-85_four,kwadakawda,kwadakawda,kʷ a d a k a w d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Werekena-Chacon-2019-220-85_four-1,,Werekena,Chacon-2019-220-85_four,kwatɾʊ,kwatɾʊ,kʷ a t ɾ ʊ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Aha-Chacon-2019-220-85_four-1,,Aha,Chacon-2019-220-85_four,likuadaːka,likuadaːka,l i k u a d aː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Ehe-Chacon-2019-220-85_four-1,,Ehe,Chacon-2019-220-85_four,likuadaːka,likuadaːka,l i k u a d aː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Waliperi-Chacon-2019-220-85_four-1,,Waliperi,Chacon-2019-220-85_four,ɽikoadaka,ɽikoadaka,ɽ i k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Hohoodene-Chacon-2019-220-85_four-1,,Hohoodene,Chacon-2019-220-85_four,ɽikoɛpaka,ɽikoɛpaka,ɽ i k o ɛ p a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Name-Chacon-2019-220-151_people-1,,Name,Chacon-2019-220-151_people,a’pada,a’pada,a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Werekena-Chacon-2019-220-151_people-1,,Werekena,Chacon-2019-220-151_people,j̃amaɾi,j̃amaɾi,j̃ a m a ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Tariana-Chacon-2019-220-151_people-1,,Tariana,Chacon-2019-220-151_people,maɾikɪ,maɾikɪ,m a ɾ i k ɪ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Waliperi-Chacon-2019-220-151_people-1,,Waliperi,Chacon-2019-220-151_people,naːwiki,naːwiki,n aː w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Ehe-Chacon-2019-220-151_people-1,,Ehe,Chacon-2019-220-151_people,naike,naike,n a i k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Kowaidakenai-Chacon-2019-220-151_people-1,,Kowaidakenai,Chacon-2019-220-151_people,naike,naike,n a i k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Aha-Chacon-2019-220-151_people-1,,Aha,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Kumadene2-Chacon-2019-220-151_people-1,,Kumadene2,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Mauliene-Chacon-2019-220-151_people-1,,Mauliene,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Oho-Chacon-2019-220-151_people-1,,Oho,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Moliwene-Chacon-2019-220-151_people-1,,Moliwene,Chacon-2019-220-151_people,najki,najki,n a j k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Hohoodene-Chacon-2019-220-151_people-1,,Hohoodene,Chacon-2019-220-151_people,newiki,newiki,n e w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Dzawinai-Chacon-2019-220-151_people-1,,Dzawinai,Chacon-2019-220-151_people,newiki,newiki,n e w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Ehe-Chacon-2019-220-104_here-1,,Ehe,Chacon-2019-220-104_here,aːha,aːha,aː h a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Kumadene2-Chacon-2019-220-104_here-1,,Kumadene2,Chacon-2019-220-104_here,aːhi,aːhi,aː h i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Aha-Chacon-2019-220-104_here-1,,Aha,Chacon-2019-220-104_here,ahaite,ahaite,a h a i t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Hohoodene-Chacon-2019-220-104_here-1,,Hohoodene,Chacon-2019-220-104_here,aijahã,aijahã,a i j a h ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Mauliene-Chacon-2019-220-104_here-1,,Mauliene,Chacon-2019-220-104_here,ajahã,ajahã,a j a h ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Moliwene-Chacon-2019-220-104_here-1,,Moliwene,Chacon-2019-220-104_here,ajahɐ̃,ajahɐ̃,a j a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Waliperi-Chacon-2019-220-104_here-1,,Waliperi,Chacon-2019-220-104_here,ajahɐ̃,ajahɐ̃,a j a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Name-Chacon-2019-220-104_here-1,,Name,Chacon-2019-220-104_here,ajahe,ajahe,a j a h e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Tariana-Chacon-2019-220-104_here-1,,Tariana,Chacon-2019-220-104_here,haĩm̥adenukiuhakəni,haĩm̥adenukiuhakəni,h a ĩ mʰ a d e n u k i u h a k ə n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Oho-Chacon-2019-220-104_here-1,,Oho,Chacon-2019-220-104_here,lipedza,lipedza,l i p e dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Werekena-Chacon-2019-220-104_here-1,,Werekena,Chacon-2019-220-104_here,wɐnihi,wɐnihi,w ɐ n i h i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Ehe-Chacon-2019-220-119_know-1,,Ehe,Chacon-2019-220-119_know,aːnʰeketi,aːnʰeketi,aː nʰ e k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Waliperi-Chacon-2019-220-119_know-1,,Waliperi,Chacon-2019-220-119_know,nuahemi,nuaheni,n u a h e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Dzawinai-Chacon-2019-220-119_know-1,,Dzawinai,Chacon-2019-220-119_know,nuanʰeka,nuanʰeka,n u a nʰ e k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Kowaidakenai-Chacon-2019-220-119_know-1,,Kowaidakenai,Chacon-2019-220-119_know,nuanʰe,nuanʰe,n u a nʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Werekena-Chacon-2019-220-119_know-1,,Werekena,Chacon-2019-220-119_know,nutsɛmi,nutsɛmi,n u ts ɛ m i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Mauliene-Chacon-2019-220-119_know-1,,Mauliene,Chacon-2019-220-119_know,nuwanʰeni,nuwanʰeni,n u w a nʰ e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
Kumadene2-Chacon-2019-220-119_know-1,,Kumadene2,Chacon-2019-220-119_know,nuwanʰẽoka,nuwanʰẽoka,n u w a nʰ ẽ o k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,
